금융회사명,상품명,가입방법,만기이자,우대조건,가입대상,금리유형,적립유형,저축기간(개월),기본금리(%),최고우대금리(%),금융권
우리금융저축은행,우리WON햇살론,"App
App",,,"3개월 이상 계속 근로중인 근로자
서민금융진흥원의 보증서 발급이 가능한 고객
연소득 4,500만원 이하이면서 1개사 이상의 CSS 개인신용평점이 하위 20/100*인 고객
(단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)
*(2025년기준 NICE 749점,KCB 700점이하)
3개월 이상 계속 근로중인 근로자
서민금융진흥원의 보증서 발급이 가능한 고객
연소득 4,500만원 이하이면서 1개사 이상의 CSS 개인신용평점이 하위 20/100*인 고객
(단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)
*(2025년기준 NICE 749점,KCB 700점이하)","변동금리
변동금리",정보 없음,"3년 또는 5년
3년 또는 5년","연8%대 ~ 11.5%(변동금리)(기준일자:2025.05.01)(금리 구간내에서 매월 1일 변동) ※대출금리는 접수채널에 따라 상이할 수 있음
*매월 금융감독원에서 고시하는 금리(정기예금금리)를 반영하여 3,6,12개월(선택)마다 변동
*금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는 해당 금융기관 홈페이지에서 확인 필요
연8%대 ~ 11.5%(변동금리)(기준일자:2025.05.01)(금리 구간내에서 매월 1일 변동) ※대출금리는 접수채널에 따라 상이할 수 있음
*매월 금융감독원에서 고시하는 금리(정기예금금리)를 반영하여 3,6,12개월(선택)마다 변동
*금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는 해당 금융기관 홈페이지에서 확인 필요",,2금융권
신한저축은행,햇살론/온라인햇살론,,,,"· 연소득 3,500만원 이하인 저소득자 이거나 연소득 4,500만원 이하이면서 1개사 이상의 개인신용평가사가 산정한 개인신용평점 하위 100분의 20에 해당하는 자 (3개월 이상 근로자)
※ ‘25년 기준 NICE 749점, KCB 700점 이하
온라인햇살론 대상자 : 햇살론 직장이 대상자 중 
① 현 직장 최근 건강보험료 3개월 이상 정상 납부
② 공동인증서, 본인명의 휴대폰 보유
※ 온라인햇살론을 신청할 경우 기존 햇살론 대비 금리가 0.5%p 인하됩니다.
· 연소득 3,500만원 이하인 저소득자 이거나 연소득 4,500만원 이하이면서 1개사 이상의 개인신용평가사가 산정한 개인신용평점 하위 100분의 20에 해당하는 자 (3개월 이상 근로자)
※ ‘25년 기준 NICE 749점, KCB 700점 이하
온라인햇살론 대상자 : 햇살론 직장이 대상자 중 
① 현 직장 최근 건강보험료 3개월 이상 정상 납부
② 공동인증서, 본인명의 휴대폰 보유
※ 온라인햇살론을 신청할 경우 기존 햇살론 대비 금리가 0.5%p 인하됩니다.","변동금리
변동금리",정보 없음,"3년 또는 5년
3년 또는 5년","연 9~11%대 (변동, 기준일자 : 매월 1일)
※ 대출약정 후 12개월 단위로 금리 변동
※ 조달기준금리 : 저축은행중앙회에서 고시되는 햇살론 조달원가 기준금리에 따르며, 매월 금융감독원에서 통보하는 상한금리 이내에서 금융회사가 자율적으로 결정
※ 성실상환자 금리인하 : 연체없이 거래 시 12개월 단위로 0.3~0.6%p씩 (최대 1.8%p) 금리 인하
* 자세한 금리정보는 신한저축은행 홈페이지나 영업점에서 확인하시기 바랍니다.
연 9~11%대 (변동, 기준일자 : 매월 1일)
※ 대출약정 후 12개월 단위로 금리 변동
※ 조달기준금리 : 저축은행중앙회에서 고시되는 햇살론 조달원가 기준금리에 따르며, 매월 금융감독원에서 통보하는 상한금리 이내에서 금융회사가 자율적으로 결정
※ 성실상환자 금리인하 : 연체없이 거래 시 12개월 단위로 0.3~0.6%p씩 (최대 1.8%p) 금리 인하
* 자세한 금리정보는 신한저축은행 홈페이지나 영업점에서 확인하시기 바랍니다.",,2금융권
KB저축은행,온라인햇살론,,,,"• 3개월 이상 계속 근로중인 근로자
• 연소득 4,500만원 이하이면서 1개사 이상의 CSS개인신용평점이 하위 20/100인 고객
  (단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)
• 소득증빙이 가능한 19세 이상 내국인
• 3개월 이상 계속 근로중인 근로자
• 연소득 4,500만원 이하이면서 1개사 이상의 CSS개인신용평점이 하위 20/100인 고객
  (단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)
• 소득증빙이 가능한 19세 이상 내국인","• 변동금리 (3,6,12개월 단위 선택 가능) 적용 (2024년 2월 1일 기준)
• 변동금리 (3,6,12개월 단위 선택 가능) 적용 (2024년 2월 1일 기준)",정보 없음,"• 3년 또는 5년
• 3년 또는 5년","• 최저 연 9%~최고 연 10% (신용도에 따라 차등 적용)(2025년 1월 1일 기준)
• 산출기준 : 기준금리 + 가산금리
• 기준금리 : 금융감독원에서 매달 고지하는 저축은행 1년 정기예탁금 가중평균금리
* 가산금리 : 고객 신용평점 등에 따라 차등 적용
• 최저 연 9%~최고 연 10% (신용도에 따라 차등 적용)(2025년 1월 1일 기준)
• 산출기준 : 기준금리 + 가산금리
• 기준금리 : 금융감독원에서 매달 고지하는 저축은행 1년 정기예탁금 가중평균금리
* 가산금리 : 고객 신용평점 등에 따라 차등 적용",,2금융권
DB저축은행,햇살론,,,"없음
없음","- 소득증빙이 가능한 만 19세 이상의 내국인
- 3개월 이상 계속 근로중인 급여소득자
- 연 소득 4,500만원 이하 & 신용평점 하위 20%
 또는 연 소득 3,500만원 이하
- 소득증빙이 가능한 만 19세 이상의 내국인
- 3개월 이상 계속 근로중인 급여소득자
- 연 소득 4,500만원 이하 & 신용평점 하위 20%
 또는 연 소득 3,500만원 이하",,정보 없음,"36개월 또는 60개월
36개월 또는 60개월","연8% ~ 연12%
※ 산출기준 : 기준금리 + 가산금리
(가산금리 : 고객 신용평점 등에 따라 차등 적용)
※ 정부고시에 따라 매월 상한 금리 변경
※ 개인신용평점별 차등적용
※ 변동금리(12개월 단위 변동)
연8% ~ 연12%
※ 산출기준 : 기준금리 + 가산금리
(가산금리 : 고객 신용평점 등에 따라 차등 적용)
※ 정부고시에 따라 매월 상한 금리 변경
※ 개인신용평점별 차등적용
※ 변동금리(12개월 단위 변동)","없음
없음",2금융권
키움저축은행,햇살론,"온라인 및 앱
온라인 및 앱",,"온라인햇살론 신청 시 기존 햇살론 대비 금리 0.5%p 인하
온라인햇살론 신청 시 기존 햇살론 대비 금리 0.5%p 인하","근로소득자
* 최근 1년이내 3개월 이상 재직한 근로자로서 햇살론 자격기준 부합자 
* 연소득 3천5백만원 이하인 근로소득자(개인신용평점 무관)
* 연소득 4천5백만원 이하인 근로소득자(개인신용평점구간 하위 20%)
* 현 직장 최근 건강보험료 3개월 이상 정상납부
* 공동인증서, 본인명의 휴대폰 보유
근로소득자
* 최근 1년이내 3개월 이상 재직한 근로자로서 햇살론 자격기준 부합자 
* 연소득 3천5백만원 이하인 근로소득자(개인신용평점 무관)
* 연소득 4천5백만원 이하인 근로소득자(개인신용평점구간 하위 20%)
* 현 직장 최근 건강보험료 3개월 이상 정상납부
* 공동인증서, 본인명의 휴대폰 보유","변동금리
변동금리",정보 없음,"36개월, 60개월
36개월, 60개월","연 9.0% ~ 11.0% 대
연 9.0% ~ 11.0% 대","온라인햇살론 신청 시 기존 햇살론 대비 금리 0.5%p 인하
온라인햇살론 신청 시 기존 햇살론 대비 금리 0.5%p 인하",2금융권
동원제일저축은행,직장인 햇살론,"모바일 WEB 신청
모바일 WEB 신청",,"해당사항없음
해당사항없음","연간소득 4,500만원 이하의 3개월 이상 재직중인 근로자
1개사 이상의 CSS 개인신용평점 하위 20/100
연간소득 4,500만원 이하의 3개월 이상 재직중인 근로자
1개사 이상의 CSS 개인신용평점 하위 20/100","생계자금: 변동금리(대출약정 기간 내에 기준금리가 변경될 경우 당해 대출금리가 변동되는 금리)
생계자금: 변동금리(대출약정 기간 내에 기준금리가 변경될 경우 당해 대출금리가 변동되는 금리)",정보 없음,"3년 또는 5년
3년 또는 5년","연10%대~연11%대
대출금리=기준금리+가산금리
기준금리: 전전월 저축은행 전체 1년 만기 정기예탁금 가중평균 금리(신규취급액)
가산금리: 서민금융진흥원 신용보증 업무위탁에 관한 협약에 따른 적용금리
연10%대~연11%대
대출금리=기준금리+가산금리
기준금리: 전전월 저축은행 전체 1년 만기 정기예탁금 가중평균 금리(신규취급액)
가산금리: 서민금융진흥원 신용보증 업무위탁에 관한 협약에 따른 적용금리","해당사항없음
해당사항없음",2금융권
OK저축은행,근로자햇살론,"모바일,인터넷,영업점",,,"직장인(3개월 이상 재직/ 근로소득 연 4,500만원 이하&개인신용평점이 하위 100분의 20에 해당/ 근로소득 연 3,500만원 이하)
직장인(3개월 이상 재직/ 근로소득 연 4,500만원 이하&개인신용평점이 하위 100분의 20에 해당/ 근로소득 연 3,500만원 이하)",,정보 없음,,"연 8% ~ 연 10%대
(매월 금융감독원 고시 금리에 따라 변동 가능)
연 8% ~ 연 10%대
(매월 금융감독원 고시 금리에 따라 변동 가능)",,2금융권
광주은행,KJB햇살론뱅크,,,,"서민금융진흥원 보증서 발급이 가능한 고객
서민금융진흥원 보증서 발급이 가능한 고객","MOR 고정형
MOR 고정형",정보 없음,"3년 또는 5년
3년 또는 5년","최저 연 7.50% ~ 최고 연 11.62% (2023.12.06. 기준)
최저 연 7.50% ~ 최고 연 11.62% (2023.12.06. 기준)",,2금융권
모아저축은행,햇살론,영업점,,,"소득증빙이 가능한 만 19세 이상 고객
3개월 이상 재직 또는 영업 중인 개인사업자
연 소득 3,500만원 이하
연 소득 4,500만원 이하이며 개인신용평점 하위 100분의 20에 해당되는 자
소득증빙이 가능한 만 19세 이상 고객
3개월 이상 재직 또는 영업 중인 개인사업자
연 소득 3,500만원 이하
연 소득 4,500만원 이하이며 개인신용평점 하위 100분의 20에 해당되는 자","근로자 : 생계자금 1년 변동금리
자영업자 : 1년 변동금리, 대환자금 고정금리
근로자 : 생계자금 1년 변동금리
 자영업자 : 1년 변동금리, 대환자금 고정금리",정보 없음,,"근로자 : 최저 7.70% ~ 최고 9.37%(생계자금 1년 변동금리)
자영업자 : 최저 7.70% ~ 최고 8.39%(1년 변동금리, 대환자금 고정금리)
개인신용평점 및 소득에 따라 차등 적용
2022년 04월 기준
근로자 : 최저 7.70% ~ 최고 9.37%(생계자금 1년 변동금리)
자영업자 : 최저 7.70% ~ 최고 8.39%(1년 변동금리, 대환자금 고정금리)
개인신용평점 및 소득에 따라 차등 적용
2022년 04월 기준",,2금융권
키움yes저축은행,햇살론(근로자),"모바일,인터넷",,,"최근 1년이내 3개월 이상 재직한 근로자로서 햇살론 자격기준 부합자(단, 현직장 1개월이상 근로 및 소득증빙 가능한 자)
연소득 3,500만원 이하인 근로소득자(개인신용평점 무관)
연소득 4,500만원 이하인 근로소득자(개인신용평점구간 하위 20%)
최근 1년이내 3개월 이상 재직한 근로자로서 햇살론 자격기준 부합자(단, 현직장 1개월이상 근로 및 소득증빙 가능한 자)
연소득 3,500만원 이하인 근로소득자(개인신용평점 무관)
연소득 4,500만원 이하인 근로소득자(개인신용평점구간 하위 20%)","변동금리
변동금리",정보 없음,,"연 8.0% ~ 10.0%대
연 8.0% ~ 10.0%대",,2금융권
전북은행,햇살론뱅크,영업점,"대출금액 X 대출금리 X 납입일수 / 365일(윤년 366일)
대출금액 X 대출금리 X 납입일수 / 365일(윤년 366일)",,"다음의 조건을 모두 충족하는 개인사업자 고객
- 서민금융진흥원 신용보증서 발급이 가능한 고객
- 정책서민금융상품을 6개월 이상 성실하게 상환한 이용자(현재 정상이용중이거나, 최근 3년 이내 정상완제자)
 ※ 정책서민금융상품 : 새희망홀씨, 햇살론15, 햇살론17, 햇살론Youth, 안전망대출, 안전망대출 Ⅱ, 바꿔드림론, 미소금융, 근로자햇살론, 사업자햇살론
- 당행 신용등급(결합) : 6-등급 이상인 고객
재직조건
- 급여소득자 : 재직기간 3개월 이상
- 사업소득자 : 사업영위기간 3개월 이상
- 연금소득자 : 연금수령 1회 이상(공적연금)
소득조건
- 연소득 3천5백만원 이하 또는 개인신용평점 하위 20%이면서 연소득 4천5백만원 이하
다음의 조건을 모두 충족하는 개인사업자 고객
- 서민금융진흥원 신용보증서 발급이 가능한 고객
- 정책서민금융상품을 6개월 이상 성실하게 상환한 이용자(현재 정상이용중이거나, 최근 3년 이내 정상완제자)
 ※ 정책서민금융상품 : 새희망홀씨, 햇살론15, 햇살론17, 햇살론Youth, 안전망대출, 안전망대출 Ⅱ, 바꿔드림론, 미소금융, 근로자햇살론, 사업자햇살론
- 당행 신용등급(결합) : 6-등급 이상인 고객
재직조건
- 급여소득자 : 재직기간 3개월 이상
- 사업소득자 : 사업영위기간 3개월 이상
- 연금소득자 : 연금수령 1회 이상(공적연금)
소득조건
- 연소득 3천5백만원 이하 또는 개인신용평점 하위 20%이면서 연소득 4천5백만원 이하",,정보 없음,"3년 또는 5년 (거치기간 포함)
※ 거치기간 : 최대 1년
3년 또는 5년 (거치기간 포함)
※ 거치기간 : 최대 1년","최저 연 6.64% ~ 최대 연 12.55% (2023.07.24 기준)
- 기준금리 : 시장기준금리(금융채AA+) 연 3.78%(3개월 변동), 연 3.84%(6개월 변동), 연 3.92%(12개월 변동)
- 가산금리 : 연 2.86% ~ 연 8.63%
- 최저 : 대출금액 2,500만원, 대출기간 5년, 신용등급 JBCR 1등급, 변동금리(3개월), 원리균등상환, 생활자금, 보증비율 90%
- 최고 : 대출금액 2,500만원, 대출기간 5년, 신용등급 JBCR 6-등급, 변동금리(12개월), 원리균등상환, 생활자금, 보증비율 90%
※ 기준금리 : 시장기준금리(금융채AA+), 3개월/6개월/12개월 변동
※ 가산금리는 우대금리, 정책감면금리가 포함되며, 제시금리는 보증료율이 포함된 금리입니다.
※ 고객 신용등급별 차등적용됩니다.
※ 서민금융진흥원 보증료율 : 연 0.9% ~ 연 2.0%(보증비율 : 90%)
※ 보증료율 인하
 - 사회적배려대상자 연 1.0%p인하 (근로장려금 수급자, 자활근로자 포함)
 - 저소득 청년 연 0.5%p 인하(단, 사회적배려대상자와 중복적용 불가)
 - 서금원 금융교육, 컨설팅이수자 연0.1%p 인하
※ 저소득청년 : 신청시점에 만 34세 이하이면서 연소득 35백만원 이하인 경우
※ 금리인하요구권 대상여부 : 대상
최저 연 6.64% ~ 최대 연 12.55% (2023.07.24 기준)
- 기준금리 : 시장기준금리(금융채AA+) 연 3.78%(3개월 변동), 연 3.84%(6개월 변동), 연 3.92%(12개월 변동)
- 가산금리 : 연 2.86% ~ 연 8.63%
- 최저 : 대출금액 2,500만원, 대출기간 5년, 신용등급 JBCR 1등급, 변동금리(3개월), 원리균등상환, 생활자금, 보증비율 90%
- 최고 : 대출금액 2,500만원, 대출기간 5년, 신용등급 JBCR 6-등급, 변동금리(12개월), 원리균등상환, 생활자금, 보증비율 90%
※ 기준금리 : 시장기준금리(금융채AA+), 3개월/6개월/12개월 변동
※ 가산금리는 우대금리, 정책감면금리가 포함되며, 제시금리는 보증료율이 포함된 금리입니다.
※ 고객 신용등급별 차등적용됩니다.
※ 서민금융진흥원 보증료율 : 연 0.9% ~ 연 2.0%(보증비율 : 90%)
※ 보증료율 인하
 - 사회적배려대상자 연 1.0%p인하 (근로장려금 수급자, 자활근로자 포함)
 - 저소득 청년 연 0.5%p 인하(단, 사회적배려대상자와 중복적용 불가)
 - 서금원 금융교육, 컨설팅이수자 연0.1%p 인하
※ 저소득청년 : 신청시점에 만 34세 이하이면서 연소득 35백만원 이하인 경우
※ 금리인하요구권 대상여부 : 대상",,2금융권
,,,,,,,정보 없음,,,,2금융권
